name,type,address,description,stages,child_friendly_features,tags,lat,lng,submittedby,rating,isseed
Spring Street Mini Park,Playground,"15th Ave / E Spring St, Seattle, WA",Spring Street Mini Park. Equipment includes climbing-structure. Suitable for ages 2-12.,,climbing,"ada-compliant,outdoor,source-age:2-12",47.61188108,-122.3125767,admin,0,false
Genesee Park and Playfield,Playground,"4316 S Genesee St, Seattle, WA",Genesee Park and Playfield.,,,"ada-compliant,outdoor",47.56292342,-122.27975527,admin,0,false
Genesee Park and Playfield,Playground,"4420 S Genesee St, Seattle, WA",Genesee Park and Playfield.,,,"ada-compliant,outdoor",47.56540565,-122.27782693,admin,0,false
Lincoln Park - North,Playground,"8011 Fauntleroy Way SW, Seattle, WA",Lincoln Park - North. Equipment includes swings. Suitable for ages 5-12.,,swings,"ada-compliant,outdoor,source-age:5-12",47.53462223,-122.39473742,admin,0,false
Carkeek Park,Playground,"950 NW Carkeek Park Rd, Seattle, WA","Carkeek Park. Equipment includes climbing-structure, slides, spring-rocker, swings. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,slides,swings","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.71308135,-122.37769879,admin,0,false
Volunteer Park,Playground,"1247 15th Ave E, Seattle, WA","Volunteer Park. Equipment includes climbing-structure, roundabout, slides, swings. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,roundabout,slides,swings","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.6319611,-122.31312395,admin,0,false
Warren G. Magnuson Park,Playground,"6500 Sand Point Way NE, Seattle, WA",Warren G. Magnuson Park.,,,"ada-compliant,outdoor",47.68172825,-122.25338279,admin,0,false
Northgate Park,Playground,"10548 5th Ave NE, Seattle, WA","Northgate Park. Equipment includes climbing, climbing-structure, roundabout, spring-rocker, swings. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,roundabout,swings","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.7058995,-122.32223749,admin,0,false
Lincoln Park - South,Playground,"8011 Fauntleroy Way SW, Seattle, WA",Lincoln Park - South.,,,"ada-compliant,outdoor",47.52715889,-122.3947795,admin,0,false
Lincoln Park - Beach,Playground,"8011 Fauntleroy Way SW, Seattle, WA",Lincoln Park - Beach.,,,"ada-compliant,outdoor",47.52634541,-122.39477284,admin,0,false
"John C. Little, Sr. Park",Playground,"6961 37th Ave S, Seattle, WA","John C. Little, Sr. Park.",,,"ada-compliant,outdoor",47.53937701,-122.28664431,admin,0,false
Puget Ridge Playground,Playground,"21st Ave SW / Croft Pl SW, Seattle, WA","Puget Ridge Playground. Equipment includes climbing-structure, spring-rocker. Suitable for ages 2-12 and 2-5.",,climbing,"ada-compliant,outdoor,source-age:2-5,source-age:2-12",47.54740197,-122.35992085,admin,0,false
Ballard Corners Park,Playground,"17th Ave NW / NW 62nd St, Seattle, WA",Ballard Corners Park. Equipment includes climbing-structure. Suitable for ages 2-12.,,climbing,"ada-compliant,outdoor,source-age:2-12",47.67429999,-122.37914262,admin,0,false
Dr. Blanche Lavizzo Park,Playground,"2100 S Jackson St, Seattle, WA",Dr. Blanche Lavizzo Park.,,,"ada-compliant,outdoor",47.59951159,-122.30446278,admin,0,false
Ercolini Park,Playground,"48th Ave SW / SW Alaska St, Seattle, WA","Ercolini Park. Equipment includes activity-panel, climbing-structure, roundabout, swings. Suitable for ages 2-12 and 5-12.",,"climbing,roundabout,swings","ada-compliant,outdoor,source-age:5-12,source-age:2-12",47.56168567,-122.39308576,admin,0,false
Homer Harris Park,Playground,"2401 E Howell St, Seattle, WA",Homer Harris Park. Suitable for ages 2-5.,,,"ada-compliant,outdoor,source-age:2-5",47.6174858,-122.3009772,admin,0,false
Bradner Gardens Park,Playground,"29th Ave S / S Grand St, Seattle, WA",Bradner Gardens Park.,,,"ada-compliant,outdoor",47.58733388,-122.29575427,admin,0,false
Cedar Park,Playground,"3737 NE 135th St, Seattle, WA","Cedar Park. Equipment includes climbing, climbing-structure, roundabout. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,roundabout","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.72621721,-122.28808204,admin,0,false
Atlantic Street Park,Playground,"S Atlantic St / 21st Ave S, Seattle, WA","Atlantic Street Park. Equipment includes baby-swings, climbing-structure, swings. Suitable for ages 2-5 and 5-12.",,"baby-swings,climbing,swings","ada-compliant,outdoor,source-age:2-5,source-age:5-12",47.58933294,-122.30546772,admin,0,false
Fairmount Playground,Playground,"5400 Fauntleroy Way SW, Seattle, WA","Fairmount Playground. Equipment includes climbing, climbing-structure, roundabout, seesaw, swings. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,roundabout,seesaw,swings","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.554241,-122.38014468,admin,0,false
Van Asselt Playground,Playground,"7200 Beacon Ave S, Seattle, WA","Van Asselt Playground. Equipment includes climbing-structure, seesaw, swings. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,seesaw,swings","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.53929336,-122.2960717,admin,0,false
Greenwood Park,Playground,"8905 Fremont Ave N, Seattle, WA","Greenwood Park. Equipment includes climbing-structure, roundabout, slides, spring-rocker, swings. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,roundabout,slides,swings","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.69326993,-122.35049252,admin,0,false
Roxhill Park,Playground,"2850 SW Roxbury St, Seattle, WA",Roxhill Park.,,,"ada-compliant,outdoor",47.5200784,-122.36937634,admin,0,false
Jefferson Park,Playground,"3801 Beacon Ave S, Seattle, WA","Jefferson Park. Equipment includes baby-swings, climbing, climbing-structure, roundabout, slides, spring-rocker, swings, zip-line. Suitable for ages 2-5 and 5-12.",,"baby-swings,climbing,roundabout,slides,swings,zip-line","ada-compliant,outdoor,source-age:2-5,source-age:5-12",47.57048707,-122.30917279,admin,0,false
Denny Park,Playground,"100 Dexter Ave N, Seattle, WA","Denny Park. Equipment includes climbing-structure, roundabout, zip-line. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,roundabout,zip-line","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.61945211,-122.34064861,admin,0,false
Albert Davis Park,Playground,"12526 27th Ave NE, Seattle, WA","Albert Davis Park. Equipment includes climbing-structure, roundabout. Suitable for ages 2-12 and 5-12.",,"climbing,roundabout","ada-compliant,outdoor,source-age:5-12,source-age:2-12",47.72042908,-122.2985571,admin,0,false
Ravenna-Eckstein CC Grounds,Playground,"6535 Ravenna Ave NE, Seattle, WA",Ravenna-Eckstein CC Grounds.,,,"ada-compliant,outdoor",47.67670201,-122.30474586,admin,0,false
Crown Hill Park,Playground,", Seattle, WA","Crown Hill Park. Equipment includes balance-beam, climbing, roundabout. Suitable for ages 2-12.",,"climbing,roundabout","ada-compliant,outdoor,source-age:2-12",47.69696443,-122.37299298,admin,0,false
Fairmount Playground - School,Playground,"5400 Fauntleroy Way SW, Seattle, WA",Fairmount Playground - School.,,,"ada-compliant,outdoor",47.55341248,-122.38058487,admin,0,false
Gas Works Park,Playground,"2101 N Northlake Way, Seattle, WA","Gas Works Park. Equipment includes climbing, climbing-structure, roundabout, spring-rocker, swings. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,roundabout,swings","outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.64567589,-122.33352313,admin,0,false
Kinnear Park,Playground,"899 W Olympic Place, Seattle, WA",Kinnear Park.,,,outdoor,47.62789724,-122.36716063,admin,0,false
Lakeridge Park and Playground,Playground,"10145 Rainier Ave S, Seattle, WA",Lakeridge Park and Playground.,,,outdoor,47.5104151,-122.2463172,admin,0,false
Lakewood Playground,Playground,"5013 S Angeline St, Seattle, WA","Lakewood Playground. Equipment includes climbing-structure, spring-rocker, swings. Suitable for ages 2-12 and 2-5.",,"climbing,swings","outdoor,source-age:2-5,source-age:2-12",47.55915905,-122.26967771,admin,0,false
Lawton Park,Playground,"3843 26th Ave W, Seattle, WA","Lawton Park. Equipment includes climbing-structure, roundabout, swings. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,roundabout,swings","outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.65578323,-122.39092153,admin,0,false
Meridian Playground,Playground,"4649 Sunnyside Ave N, Seattle, WA","Meridian Playground. Equipment includes baby-swings, climbing-structure, roundabout, slides, spring-rocker, swings. Suitable for ages 2-12 and 2-5 and 5-12.",,"baby-swings,climbing,roundabout,slides,swings","outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.66437154,-122.33223411,admin,0,false
Madison Park - North Beach,Playground,"2200 43rd Ave E, Seattle, WA",Madison Park - North Beach.,,,outdoor,47.63944565,-122.27677576,admin,0,false
Madrona Park -Beach,Playground,"853 Lake Washington Blvd S, Seattle, WA",Madrona Park -Beach.,,,outdoor,47.60864215,-122.28287804,admin,0,false
Maple Leaf Playground,Playground,"1020 NE 82nd St, Seattle, WA","Maple Leaf Playground. Equipment includes climbing, climbing-structure, roundabout, slides, spring-rocker, swings, zip-line. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,roundabout,slides,swings,zip-line","outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.68936462,-122.31717012,admin,0,false
Montlake Playfield,Playground,"1618 E Calhoun St, Seattle, WA",Montlake Playfield.,,,outdoor,47.64169853,-122.30944928,admin,0,false
Prentis Frazier Park,Playground,"401 24th Ave E, Seattle, WA",Prentis Frazier Park. Equipment includes climbing-structure. Suitable for ages 2-5 and 5-12.,,climbing,"outdoor,source-age:2-5,source-age:5-12",47.62282997,-122.30147104,admin,0,false
Riverview Playfield,Playground,"7226 12th Ave SW, Seattle, WA",Riverview Playfield.,,,outdoor,47.53928113,-122.34996231,admin,0,false
Trolley Hill Park,Playground,"5th Ave N / Blaine St, Seattle, WA",Trolley Hill Park.,,,outdoor,47.63511461,-122.34729375,admin,0,false
Victory Heights Playground,Playground,"1737 NE 106th St, Seattle, WA","Victory Heights Playground. Equipment includes activity-panel, climbing-structure, roundabout, swings. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,roundabout,swings","outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.7060089,-122.30788451,admin,0,false
Cal Anderson Park,Playground,"1635 11th Ave, Seattle, WA","Cal Anderson Park. Equipment includes climbing-structure, spring-rocker, swings. Suitable for ages 2-12 and 2-5.",,"climbing,swings","ada-compliant,outdoor,source-age:2-5,source-age:2-12",47.61707006,-122.31864658,admin,0,false
Virgil Flaim Park,Playground,"2750 NE 125th St, Seattle, WA","Virgil Flaim Park. Equipment includes balance-beam, climbing, climbing-structure, roundabout, slides, swings. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,roundabout,slides,swings","outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.71809653,-122.29972296,admin,0,false
Ella Bailey Park,Playground,"2601 W Smith St, Seattle, WA","Ella Bailey Park. Equipment includes climbing-structure, roundabout, swings. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,roundabout,swings","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.6407383,-122.39140427,admin,0,false
Kirke Park,Playground,"7028 9th Avenue NW, Seattle, WA",Kirke Park.,,,"ada-compliant,outdoor",47.68017311,-122.36796255,admin,0,false
Southwest Community Center,Playground,"2801 SW Thistle St, Seattle, WA",Southwest Community Center.,,,"ada-compliant,outdoor",47.52759983,-122.36894008,admin,0,false
Woodland Park,Playground,"5420 Phinney Ave N, Seattle, WA",Woodland Park.,,,"ada-compliant,outdoor",47.67131777,-122.35345754,admin,0,false
Cascade Playground,Playground,"333 Pontius Ave N, Seattle, WA","Cascade Playground. Equipment includes climbing-structure, spring-rocker, swings. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,swings","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.62166645,-122.33261125,admin,0,false
Matthews Beach Park,Playground,"9300 51st Ave NE, Seattle, WA","Matthews Beach Park. Equipment includes climbing, climbing-structure, roundabout, spring-rocker, swings, track-ride. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,roundabout,swings","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.69690808,-122.2740525,admin,0,false
Roanoke Park,Playground,"950 E Roanoke St, Seattle, WA","Roanoke Park. Equipment includes baby-swings, climbing-structure, spring-rocker, swings. Suitable for ages 2-12 and 2-5 and 5-12.",,"baby-swings,climbing,swings","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.64425713,-122.32026451,admin,0,false
W. Queen Anne Playfield,Playground,"150 W. Blaine St, Seattle, WA",W. Queen Anne Playfield.,,,"ada-compliant,outdoor",47.63564869,-122.36058796,admin,0,false
Alki Playground - Whales Tail,Playground,"5817 SW Lander St, Seattle, WA","Alki Playground - Whales Tail. Equipment includes baby-swings, climbing-structure, slides, swings. Suitable for ages 2-5 and 5-12.",,"baby-swings,climbing,slides,swings","ada-compliant,outdoor,source-age:2-5,source-age:5-12",47.57932158,-122.40716148,admin,0,false
Ward Springs Park,Playground,"925 4th Ave N, Seattle, WA",Ward Springs Park.,,,"ada-compliant,outdoor",47.62786041,-122.34941674,admin,0,false
6th Ave NW Pocket Park,Playground,"6th Ave NW / NW 76th St, Seattle, WA",6th Ave NW Pocket Park.,,,"ada-compliant,outdoor",47.68431917,-122.36362135,admin,0,false
Delridge Playfield,Playground,"4458 Delridge Way SW, Seattle, WA",Delridge Playfield.,,,"ada-compliant,outdoor",47.56376281,-122.36416885,admin,0,false
Gilman Playground,Playground,"923 NW 54th St, Seattle, WA","Gilman Playground. Equipment includes climbing-structure, swings. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,swings","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.66692051,-122.36920117,admin,0,false
Judkins Park and Playfield,Playground,"2150 S Norman St, Seattle, WA",Judkins Park and Playfield.,,,"ada-compliant,outdoor",47.59262993,-122.30391467,admin,0,false
Maplewood Playfield,Playground,"4801 Corson Ave S, Seattle, WA",Maplewood Playfield.,,,"ada-compliant,outdoor",47.56073636,-122.31779604,admin,0,false
Pinehurst Playground,Playground,"12029 14th Ave NE, Seattle, WA","Pinehurst Playground. Equipment includes climbing-structure, roundabout, spring-rocker, swings. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,roundabout,swings","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.71626992,-122.31423138,admin,0,false
Wallingford Playfield,Playground,"4219 Wallingford Ave N, Seattle, WA",Wallingford Playfield.,,,"ada-compliant,outdoor",47.65894853,-122.33699984,admin,0,false
Discovery Park,Playground,"3801 W Government Way, Seattle, WA","Discovery Park. Equipment includes climbing-structure, spring-rocker, swings, zip-line. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,swings,zip-line","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.65607264,-122.40498007,admin,0,false
Rainier Community Center,Playground,"4600 38th Ave S, Seattle, WA",Rainier Community Center.,,,"ada-compliant,outdoor",47.56123268,-122.28340835,admin,0,false
Cottage Grove Park,Playground,"5206 26th Ave SW, Seattle, WA","Cottage Grove Park. Equipment includes climbing, climbing-structure, roundabout, spring-rocker, swings. Suitable for ages 2-12.",,"climbing,roundabout,swings","ada-compliant,outdoor,source-age:2-12",47.55501296,-122.36513327,admin,0,false
Little Brook Park,Playground,"14043 32nd Ave NE, Seattle, WA","Little Brook Park. Equipment includes baby-swings, climbing-structure, swings. Suitable for ages 2-5 and 5-12.",,"baby-swings,climbing,swings","ada-compliant,outdoor,source-age:2-5,source-age:5-12",47.73140758,-122.29423691,admin,0,false
12th West / West Howe Park,Playground,"12th Ave West / West Howe St, Seattle, WA",12th West / West Howe Park.,,,outdoor,47.63609742,-122.37298472,admin,0,false
Oxbow Park,Playground,"6430 Corson Ave S, Seattle, WA",Oxbow Park. Equipment includes climbing-structure. Suitable for ages 5-12.,,climbing,"outdoor,source-age:5-12",47.54499491,-122.32147142,admin,0,false
E Queen Anne Playground,Playground,"1912 Warren Ave N, Seattle, WA",E Queen Anne Playground.,,,"ada-compliant,outdoor",47.63589074,-122.35409195,admin,0,false
Leschi Park,Playground,"201 Lakeside Ave S, Seattle, WA",Leschi Park.,,,outdoor,47.60084275,-122.28699306,admin,0,false
Madrona Playground,Playground,"3211 E Spring St, Seattle, WA","Madrona Playground. Equipment includes baby-swings, climbing-structure, roundabout, spring-rocker, swings. Suitable for ages 2-5 and 5-12.",,"baby-swings,climbing,roundabout,swings","ada-compliant,outdoor,source-age:2-5,source-age:5-12",47.61125539,-122.28966516,admin,0,false
Beer Sheva Park,Playground,"8650 55th Ave S, Seattle, WA","Beer Sheva Park. Equipment includes climbing-structure, roundabout, spring-rocker, swings. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,roundabout,swings","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.52468711,-122.26392871,admin,0,false
Garfield Playfield,Playground,"500 23rd Ave, Seattle, WA",Garfield Playfield.,,,"ada-compliant,outdoor",47.60769677,-122.30036798,admin,0,false
Pratt Park,Playground,"1800 S Main St, Seattle, WA","Pratt Park. Equipment includes activity-panel, climbing, climbing-structure, roundabout, swings. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,roundabout,swings","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.60089444,-122.30787185,admin,0,false
Viewridge Playfield,Playground,"4408 NE 70th St, Seattle, WA",Viewridge Playfield.,,,"ada-compliant,outdoor",47.679747,-122.27996947,admin,0,false
