name,type,address,description,stages,child_friendly_features,tags,lat,lng,submitted_by,rating,is_seed
5 Spot,Café,"1502 Queen Anne Ave N, Seattle, WA 98109, USA","Kids love the retro diner energy and classic American breakfast that feels special without being fussy, and you'll appreciate the Queen Anne location with plenty of space to move around. The playful atmosphere and generous portions keep families coming back for weekend mornings.","[""toddler"",""preschool"",""school-age"",""all-ages""]","[""high-chairs"",""kids-menu"",""booster-seats"",""noise-tolerant""]","[""queen-anne"",""breakfast"",""family-favourite""]",47.6325638,-122.3567032,admin,4.6,false
Sound View Cafe,Café,"1501 Pike Pl #501, Seattle, WA 98101, USA",You'll find a Pike Place gem with natural light and views that make waiting for food feel less like a chore when dining with kids. The open layout is manageable for strollers and the supportive staff treats families as valued customers.,"[""infant"",""toddler"",""preschool"",""school-age""]","[""high-chairs"",""kids-menu"",""stroller-accessible"",""outdoor-seating""]","[""pike-place"",""downtown"",""views""]",47.6086274,-122.3407369,admin,4.3,false
Portage Bay Cafe,Café,"4130 Roosevelt Way NE, Seattle, WA 98105, USA","You'll discover a University District favorite where local families gather for breakfast and lunch in a warm, unrushed environment that embraces the reality of dining with children. Kids love the creative pancakes and you'll appreciate the outdoor seating perfect for people-watching along Roosevelt.","[""toddler"",""preschool"",""school-age"",""all-ages""]","[""high-chairs"",""kids-menu"",""booster-seats"",""outdoor-seating""]","[""u-district"",""breakfast"",""neighborhood""]",47.6576245,-122.3176877,admin,4.3,false
Pete's Eggnest,Café,"7717 Greenwood Ave N, Seattle, WA 98103, USA","You'll find a cozy neighborhood café where families linger over exceptional eggs and fresh pastries, with high-chairs and booster seats making mealtimes easy for little ones. Kids love the crayons and activities that keep them entertained while you enjoy your coffee.","[""infant"",""toddler"",""preschool"",""school-age""]","[""high-chairs"",""booster-seats"",""changing-table"",""crayons-activities""]","[""greenwood"",""breakfast"",""noise-tolerant"",""toddler-favourite""]",47.68530029999999,-122.3554994,admin,4.6,false
Wild Mountain Cafe,Café,"1408 NW 85th St, Seattle, WA 98117, USA","This welcoming mountain-themed café serves up comfort food that appeals to both kids and adults, with a thoughtfully designed space that includes changing facilities and outdoor seating for fresh-air breaks. The noise-tolerant atmosphere means your family can relax without worrying about being too loud.","[""infant"",""toddler"",""preschool"",""school-age""]","[""high-chairs"",""kids-menu"",""changing-table"",""outdoor-seating""]","[""ballard"",""noise-tolerant"",""casual"",""family-friendly""]",47.6908389,-122.3745444,admin,4.6,false
Seattle Children's Museum,Museum,"305 Harrison St, Seattle, WA 98109, USA",Kids dive into imaginative play through hands-on exhibits designed specifically for young minds—from water tables to role-play spaces where they create their own adventures. You'll appreciate the nursing room and family discounts that make this a go-to destination for Seattle families.,"[""toddler"",""preschool"",""school-age""]","[""hands-on-exhibits"",""kids-programs"",""nursing-room"",""family-discount""]","[""seattle-center"",""rainy-day"",""interactive"",""sensory-friendly""]",47.621394,-122.350884,admin,4.3,false
Pacific Science Center,Museum,"200 Sue Bird Ct N, Seattle, WA 98109, USA","Your family will spend hours exploring mind-bending interactive displays and hands-on exhibits that make science feel like play. With free entry, a nursing room, and programs designed for all ages, Pacific Science Center removes barriers to discovery.","[""preschool"",""school-age"",""all-ages""]","[""hands-on-exhibits"",""kids-programs"",""interactive-displays"",""free-entry""]","[""seattle-center"",""rainy-day"",""free"",""educational""]",47.62004,-122.3515628,admin,4.5,false
PACCAR IMAX Theater at Pacific Science Center,Museum,"200 Sue Bird Ct N, Seattle, WA 98109, USA",Kids' eyes light up on the enormous IMAX screen as larger-than-life nature documentaries and space adventures transport them to incredible worlds. The nursing room and family discounts make this an accessible splurge for families seeking immersive wonder.,"[""preschool"",""school-age""]","[""kids-programs"",""stroller-friendly"",""nursing-room"",""family-discount""]","[""seattle-center"",""special-occasion"",""immersive"",""school-age""]",47.61982039999999,-122.3507218,admin,4.5,false
Science Center Outdoor Water Area,Museum,"200 2nd Ave, Seattle, WA 98109, USA","Young kids squeal with delight as they splash through interactive water features and learn about physics through play during warm months. The free admission and family-friendly setup make this an easy, refreshing outing that combines learning with pure outdoor fun.","[""toddler"",""preschool"",""school-age""]","[""hands-on-exhibits"",""kids-programs"",""interactive-displays"",""free-entry""]","[""seattle-center"",""outdoor"",""summer"",""free""]",47.6191565,-122.3516502,admin,4.3,false
Museum of Illusions - Seattle,Museum,"1330 5th Ave, Seattle, WA 98101, USA",Your school-age kids will giggle and marvel at optical illusions and mind-bending installations that challenge their perception of reality. Interactive displays keep hands and minds engaged while you capture hilarious photos of their confused and delighted faces.,"[""preschool"",""school-age""]","[""hands-on-exhibits"",""interactive-displays"",""family-discount"",""kids-programs""]","[""downtown"",""rainy-day"",""interactive"",""engaging""]",47.6096365,-122.3344339,admin,4.7,false
Laser Dome at the Pacific Science Center,Museum,"200 2nd Ave, Seattle, WA 98109, USA",School-age kids feel like secret agents on a thrilling mission through the glowing maze and laser tag arena at this Pacific Science Center attraction. The stroller-friendly layout and family discounts make it accessible for siblings of all ages.,"[""school-age""]","[""kids-programs"",""stroller-friendly"",""family-discount"",""interactive-displays""]","[""seattle-center"",""rainy-day"",""active"",""adventure""]",47.6190604,-122.351863,admin,4.6,false
Kids Science Labs - Seattle,Museum,"405 NE 71st St, Seattle, WA 98115, USA","Your kids conduct real experiments and make discoveries through hands-on STEM labs where they're not just watching but doing science themselves. The free entry and interactive displays mean you can return often without guilt, letting curiosity lead the way.","[""preschool"",""school-age""]","[""hands-on-exhibits"",""kids-programs"",""interactive-displays"",""free-entry""]","[""green-lake"",""educational"",""free"",""stem-focused""]",47.6797349,-122.32407,admin,4.8,false
Tropical Butterfly House,Museum,"200 2nd Ave, Seattle, WA 98109, USA","Young children are mesmerized as colorful butterflies flutter around them in a warm, living rainforest habitat—a magical sensory experience that feels like stepping into another world. The hands-on exhibits and stroller-friendly paths make it easy for families with little ones to explore at their own pace.","[""toddler"",""preschool"",""school-age""]","[""hands-on-exhibits"",""stroller-friendly"",""interactive-displays"",""free-entry""]","[""seattle-center"",""sensory-friendly"",""nature"",""wonder""]",47.6190292,-122.3504859,admin,4.7,false
The ART INN Seattle - Family Room with car parking included,Museum,"Seattle, WA 98122, USA",You'll find creative hands-on exhibits and interactive displays that let kids dive into art-making activities while you enjoy free parking and a dedicated family room. The sensory-friendly options make this an accessible choice for families with different needs.,"[""toddler"",""preschool"",""school-age""]","[""hands-on-exhibits"",""interactive-displays"",""sensory-friendly"",""family-discount""]","[""rainy-day"",""seattle"",""art-focused""]",47.60602189999999,-122.3156815,admin,0,false
Kids Discovery Museum,Museum,"301 Ravine Ln NE, Bainbridge Island, WA 98110, USA",Kids love getting their hands dirty with the interactive exhibits and hands-on learning experiences designed specifically for young explorers. The nursing room and stroller-friendly setup make it easy for families with little ones to spend a full morning here.,"[""infant"",""toddler"",""preschool"",""school-age""]","[""hands-on-exhibits"",""interactive-displays"",""stroller-friendly"",""nursing-room""]","[""bainbridge-island"",""rainy-day"",""discovery""]",47.6261421,-122.5147891,admin,4.3,false
KidsQuest Children's Museum,Museum,"1116 108th Ave NE, Bellevue, WA 98004, USA",Your kids will spend hours engaged with the creative hands-on exhibits and interactive displays designed to spark imagination and learning. Multiple sensory-friendly sessions and a family discount make this one of the region's best museum values.,"[""toddler"",""preschool"",""school-age""]","[""hands-on-exhibits"",""interactive-displays"",""sensory-friendly"",""family-discount""]","[""bellevue"",""rainy-day"",""east-side""]",47.6208569,-122.1959171,admin,4.5,false
Seattle Aquarium,Attraction,"1483 Alaskan Way Pier 59, Seattle, WA 98101, USA","Kids press their faces against the glass to watch otters and octopuses in action, and toddler-specific sessions let the littlest visitors explore without the crowds. The hands-on touch pools and stroller-friendly layout mean every age finds something magical here.","[""infant"",""toddler"",""preschool"",""school-age""]","[""hands-on-exhibits"",""stroller-friendly"",""toddler-sessions"",""age-sections"",""sensory-friendly""]","[""seattle"",""waterfront"",""outdoor""]",47.6074002,-122.3429559,admin,4.3,false
Seattle Public Library - Central Library,Library,"1000 4th Ave, Seattle, WA 98104, USA","You'll find a dedicated kids section packed with picture books and story time sessions that bring stories to life, plus a quiet room when your child needs a calm break. The free entry and maker-space activities make this an endless resource for creative families.","[""infant"",""toddler"",""preschool"",""school-age""]","[""storytime"",""kids-section"",""quiet-room"",""maker-space""]","[""downtown"",""free"",""rainy-day""]",47.6066621,-122.3321837,admin,4.7,false
Capitol Hill Branch - The Seattle Public Library,Library,"425 Harvard Ave E, Seattle, WA 98102, USA","This vibrant branch offers regular story times and a welcoming kids section perfect for discovering new favorites, plus the maker-space lets school-age kids build and create. The free entry and quiet room make it a go-to spot for Capitol Hill families.","[""toddler"",""preschool"",""school-age""]","[""storytime"",""kids-section"",""quiet-room"",""maker-space""]","[""capitol-hill"",""free"",""rainy-day""]",47.6230001,-122.3223973,admin,4.4,false
International District/Chinatown Branch - The Seattle Public Library,Library,"713 8th Ave S, Seattle, WA 98104, USA","You'll appreciate the multilingual story times and kids section celebrating the neighborhood's rich cultural diversity, creating a welcoming space for all families. The free entry and quiet room make it an accessible anchor for International District families.","[""toddler"",""preschool"",""school-age""]","[""storytime"",""kids-section"",""quiet-room"",""multilingual""]","[""international-district"",""free"",""multilingual""]",47.59623269999999,-122.3227843,admin,4.4,false
Douglass-Truth Branch - The Seattle Public Library,Library,"2300 E Yesler Wy, Seattle, WA 98122, USA","Kids love the regular story times and hands-on maker-space activities at this Central District favorite, where the dedicated kids section feels like a special place just for them. Free entry and a quiet room make it easy to visit again and again.","[""toddler"",""preschool"",""school-age""]","[""storytime"",""kids-section"",""quiet-room"",""maker-space""]","[""central-district"",""free"",""rainy-day""]",47.6019184,-122.3016502,admin,4.5,false
Beacon Hill Branch - The Seattle Public Library,Library,"2821 Beacon Ave S #5813, Seattle, WA 98144, USA","You'll find engaging story times and a kids section that celebrates Beacon Hill's community, plus family events that bring neighbors together throughout the year. The free entry and reading programs make this an essential gathering spot for local families.","[""toddler"",""preschool"",""school-age""]","[""storytime"",""kids-section"",""family-events"",""reading-programs""]","[""beacon-hill"",""free"",""community""]",47.5780836,-122.3114756,admin,4.7,false
Queen Anne Branch - The Seattle Public Library,Library,"400 W Garfield St, Seattle, WA 98119, USA","Kids discover their next favorite book in the welcoming kids section while you relax in a quiet neighborhood branch with excellent story times. The free maker-space gives school-age kids a creative outlet, and family events build connections throughout Queen Anne.","[""toddler"",""preschool"",""school-age""]","[""storytime"",""kids-section"",""quiet-room"",""maker-space""]","[""queen-anne"",""free"",""rainy-day""]",47.6338132,-122.362667,admin,4.7,false
Friends of The Seattle Public Library,Library,"Central Library, 1000 4th Ave Level 3, Seattle, WA 98104, USA","You'll discover an impressive kids section on Level 3 where children can explore thousands of books, plus regular storytimes and family events at Seattle's architectural gem. The Central Library's dedicated spaces make it easy to find exactly what your family needs without feeling rushed.","[""infant"",""toddler"",""preschool"",""school-age""]","[""kids-section"",""storytime"",""family-events"",""free-entry""]","[""downtown"",""free"",""rainy-day"",""all-ages""]",47.60667249999999,-122.3325813,admin,4.7,false
