place_id,name,type,additional_features,additional_tags
ChIJSxHAcbNqkFQRimpTht7bPsM,Yard House,Café,"[""kids-menu"",""noise-tolerant""]","[""family-friendly"",""accessible""]"
ChIJiajxot1rkFQRemLl_XPhBoo,Alder & Ash,Café,[],[]
ChIJbUAe611rkFQR_EFtZDsxaT4,Ludi's Restaurant,Café,"[""noise-tolerant""]","[""busy"",""toddler-favourite""]"
ChIJ_UHsyUMVkFQRucL7Hw-w7UE,Toulouse Petit Kitchen & Lounge,Café,"[""kids-menu""]","[""family-friendly""]"
ChIJs-Di-61qkFQRlo6i3JGwHqA,The Fisherman's Restaurant Seattle,Café,"[""outdoor-seating""]","[""scenic""]"
ChIJF1wFnkwVkFQRTgUNrzxCBtQ,Lola,Café,[],[]
ChIJL0zcZMprkFQRpiWglnqZ5zE,The Hart and the Hunter,Café,[],[]
ChIJa-hJdxIVkFQRZ7LNdZtTpv4,How to Cook a Wolf,Café,"[""outdoor-seating""]","[""cozy"",""special-occasion""]"
ChIJsRF59nJAkFQRKis-uc-e_1k,Marination Ma Kai,Café,"[""outdoor-seating""]","[""casual"",""scenic""]"
ChIJkSxTm_xrkFQRyBwGa8MfLvQ,The George,Café,[],"[""upscale""]"
ChIJAdP3V7JqkFQRh3g6UpDngzY,Pasta Casalinga,Café,[],"[""quiet"",""busy""]"
ChIJuRd6ryBrkFQRgM7rGsivREs,Musubi Kai Seattle,Café,[],[]
ChIJYSjPILJqkFQRE-m7s1g6K0Y,Von's 1000Spirits,Café,"[""noise-tolerant""]","[""busy""]"
ChIJ6TtIO08VkFQRRNn6uHOo27g,Tilikum Place Cafe,Café,[],"[""quiet"",""cozy""]"
ChIJPUrZoF5rkFQRblaP-mjuc3o,familyfriend,Café,"[""outdoor-seating""]","[""busy""]"
ChIJnWShMMZqkFQRNz0WW0Mea9E,Ba Bar Capitol Hill,Café,[],"[""busy""]"
ChIJo_oHZdxrkFQRBGQajOZ1PCU,Saigon Drip Cafe,Café,"[""changing-table""]",[]
ChIJyQk_QWsVkFQRBlbqLDPveRU,5 Spot,Café,"[""crayons-activities""]","[""busy"",""kid-friendly""]"
ChIJkX3s-LJqkFQRLapGrbyHfD0,Sound View Cafe,Café,"[""outdoor-seating""]",[]
ChIJzZzBbfQUkFQRP0f0nUznInY,Portage Bay Cafe,Café,[],"[""busy""]"
ChIJ2c0RYyMUkFQRRAHJsGe6vV4,Pete's Eggnest,Café,[],[]
ChIJGYRT54IWkFQRBMisgvsgrAk,Wild Mountain Cafe,Café,[],"[""cozy""]"
ChIJsQLp1UUVkFQR4_LfZUzGukI,Seattle Children's Museum,Museum,"[""hands-on-exhibits"",""interactive-displays""]","[""toddler-favourite"",""rainy-day""]"
ChIJAxZWvUwVkFQRPuvwC7JTqZk,Pacific Science Center,Museum,"[""hands-on-exhibits"",""interactive-displays"",""sensory-friendly"",""kids-programs""]",[]
ChIJm1csoEUVkFQRZaSm9KvhWGM,PACCAR IMAX Theater at Pacific Science Center,Museum,[],"[""busy""]"
ChIJOR3Ou7oVkFQRwo2zzSCe6i4,Science Center Outdoor Water Area,Museum,"[""hands-on-exhibits"",""interactive-displays""]","[""free""]"
ChIJJw0ZWa5rkFQR0QhsKVQ9vck,Museum of Illusions - Seattle,Museum,"[""hands-on-exhibits"",""interactive-displays"",""kids-programs""]",[]
ChIJc3GJj0UVkFQRwLD1TCbHuhA,Laser Dome at the Pacific Science Center,Museum,"[""kids-programs""]","[""busy""]"
ChIJ_wDwA20UkFQRFtxuL6EDJ1g,Kids Science Labs - Seattle,Museum,"[""hands-on-exhibits"",""kids-programs"",""interactive-displays""]",[]
ChIJc80YYk8VkFQRN8oK-40N_50,Tropical Butterfly House,Museum,"[""hands-on-exhibits"",""interactive-displays""]","[""quiet""]"
ChIJX1RGUMZqkFQRZkNfP__eGiA,The ART INN Seattle - Family Room with car parking included,Museum,[],[]
ChIJQSVrv7k-kFQR_8Ry1UmgT6Q,Kids Discovery Museum,Museum,"[""hands-on-exhibits"",""interactive-displays""]","[""toddler-favourite""]"
ChIJc8TRNYxskFQR9PcffBOC2gc,KidsQuest Children's Museum,Museum,"[""hands-on-exhibits"",""interactive-displays"",""kids-programs""]","[""toddler-favourite""]"
ChIJQ_oEiK1qkFQRg3bU4l3mmWs,Seattle Aquarium,Attraction,"[""hands-on-exhibits"",""stroller-friendly"",""family-discount""]","[""busy""]"
ChIJ55fLWVtBkFQR0v31eadEoLM,Seattle Public Library - Central Library,Library,"[""hands-on-exhibits"",""adult-seating""]",[]
ChIJ1Y9IDC4VkFQRteLhIs-Bf4I,Capitol Hill Branch - The Seattle Public Library,Library,"[""free-entry""]","[""quiet""]"
ChIJn-krn71qkFQR54uojagWKD8,International District/Chinatown Branch - The Seattle Public Library,Library,"[""free-entry"",""quiet-room""]","[""quiet""]"
ChIJz7j3fcJqkFQR4IjrnHLzv74,Douglass-Truth Branch - The Seattle Public Library,Library,"[""free-entry"",""multilingual""]","[""quiet""]"
ChIJQ2xGQIdqkFQRDAwVMNgC7gI,Beacon Hill Branch - The Seattle Public Library,Library,"[""free-entry""]","[""quiet""]"
ChIJEw6qRGwVkFQRNJYY6wj_LXY,Queen Anne Branch - The Seattle Public Library,Library,"[""kids-section"",""free-entry"",""reading-programs"",""multilingual""]",[]
ChIJp5sIFUoVkFQRqTRE-_YZSSY,Friends of The Seattle Public Library,Library,[],[]
ChIJoz291gAVkFQR5-kw3WppwvU,Fremont Branch - The Seattle Public Library,Library,[],"[""quiet""]"
ChIJ3VcWbG9AkFQR-NsDgadjWO4,West Seattle Branch - The Seattle Public Library,Library,"[""storytime""]",[]
ChIJ3XHObSdrkFQR1ZG6wstVcZ8,Madrona-Sally Goldmark Branch - The Seattle Public Library,Library,"[""kids-section""]",[]
ChIJU2vyhcMUkFQRG9TOL-sJups,Montlake Branch - The Seattle Public Library,Library,"[""kids-section""]","[""quiet""]"
ChIJNeh4UrFqkFQRqtY_XqSDD8w,Olympic Garage,Library,[],[]
ChIJ7eJjtyMUkFQRlrk_dVTDvxk,Greenwood Branch - The Seattle Public Library,Library,"[""quiet-room"",""kids-section""]",[]
ChIJv5x3_wxqkFQRs76P7-fM9GE,Columbia Branch - The Seattle Public Library,Library,[],"[""quiet""]"
ChIJVwuub4YVkFQRgmCNdfT17B4,Magnolia Branch - The Seattle Public Library,Library,[],[]
ChIJK8hUloYTkFQRyiMM-7TC7Ho,Northeast Branch - The Seattle Public Library,Library,"[""quiet-room""]",[]
ChIJyyxAAAVBkFQRIwwgKaMThyA,High Point Branch - The Seattle Public Library,Library,[],[]
ChIJSx5JLLRqkFQRwnvCxhDzA3o,Freeway Park,Library,[],"[""free""]"
ChIJxZL2KlcUkFQRvMj-zXRI3H0,Wallingford Branch - The Seattle Public Library,Library,[],[]
ChIJi-OPx7BqkFQR9TDCUWqViHc,Sky View Observatory - Columbia Center,Library,[],[]
ChIJ07Tp8jAVkFQRnFaSwuWzyUQ,PlayDate SEA,Attraction,"[""soft-play"",""age-sections"",""cafe-on-site"",""party-rooms"",""adult-seating""]","[""busy""]"
ChIJV3Z_PABtkFQRG94eTrkS13M,Twinkle Land Play Cafe,Attraction,"[""soft-play"",""age-sections"",""cafe-on-site"",""party-rooms"",""adult-seating"",""hands-on-exhibits""]","[""busy""]"
ChIJ4YB_HwBvkFQRAJjm9p3EimI,Nick's Magnificent,Attraction,"[""soft-play"",""age-sections"",""cafe-on-site"",""adult-seating"",""socks-required"",""hands-on-exhibits""]",[]
ChIJm5Um8LVzkFQRY54hsNcDZ9k,Kids Magic Lab,Attraction,"[""soft-play"",""age-sections"",""party-rooms"",""toddler-sessions"",""adult-seating"",""hands-on-exhibits""]",[]
ChIJmzZriiwUkFQRa3hjJrrBm7Y,Ballard Playspace,Attraction,"[""soft-play"",""age-sections"",""party-rooms"",""adult-seating""]",[]
ChIJp7Rt-1RpkFQR4ZmoUW2DRMA,Funtastic Playtorium,Attraction,"[""soft-play"",""age-sections"",""party-rooms"",""toddler-sessions"",""adult-seating""]",[]
ChIJF8RjDtNckFQRYLtmk5OTJCA,Safari,Attraction,"[""soft-play"",""age-sections"",""cafe-on-site"",""adult-seating"",""socks-required"",""stroller-friendly""]","[""toddler-favourite"",""rainy-day""]"
ChIJyfLYFwARkFQRPEOD9lmPm7Y,Nixi City Play + Cafe,Attraction,"[""soft-play"",""age-sections"",""cafe-on-site"",""party-rooms"",""adult-seating""]",[]
ChIJCf5nM3MFkFQRX2MdPOjm16M,Funtastic Playtorium Alderwood,Attraction,"[""soft-play"",""age-sections"",""party-rooms"",""adult-seating"",""socks-required""]","[""rainy-day""]"
ChIJfRF2c4ZskFQRjztFEA3Ef2k,Kids Cove @ The Square,Attraction,"[""soft-play"",""age-sections"",""cafe-on-site""]","[""free"",""rainy-day""]"
ChIJ34yt0LBtkFQRcOHmK0af2Hs,WiggleWorks Kids,Attraction,"[""soft-play"",""age-sections"",""adult-seating"",""socks-required""]","[""rainy-day""]"
ChIJa6jPEiQ6kFQR7s2XZHk1qV8,Ahoy Kitsap Playland,Attraction,"[""soft-play"",""age-sections"",""cafe-on-site"",""party-rooms"",""adult-seating""]","[""rainy-day""]"
ChIJi7FB9oAUkFQRu5ETzau_RV0,Wunderkind,Attraction,"[""soft-play"",""age-sections"",""cafe-on-site"",""party-rooms"",""adult-seating""]","[""rainy-day""]"
ChIJz9uqfEYVkFQRVu1saZX2C9k,Play at the center,Attraction,[],[]
ChIJGddpYgUPkFQRmhIH2cU984w,The Ridge Activity Center,Attraction,"[""soft-play"",""age-sections"",""cafe-on-site"",""adult-seating"",""hands-on-exhibits""]","[""rainy-day""]"
ChIJe6JoaTZZkFQR0UMI9J2qKkM,Safari Auburn,Attraction,"[""soft-play"",""age-sections"",""cafe-on-site"",""party-rooms"",""adult-seating""]","[""toddler-favourite""]"
ChIJc0mManwVkFQRvR1ZhLBABSE,Gas Works Park Kid Playground,Attraction,"[""age-sections"",""stroller-friendly""]","[""busy"",""outdoor""]"
ChIJXaWT3_kFkFQRzG1tfZbo8OM,Elevated Sportz Trampoline Park & Event Center,Attraction,"[""age-sections"",""party-rooms"",""socks-required"",""adult-seating""]","[""birthday-party"",""busy""]"
ChIJvc1RvZ1EkFQR9NYbK7-T25M,The Jungle Gym,Attraction,"[""party-rooms"",""adult-seating""]","[""birthday-party"",""toddler-friendly""]"
ChIJ74Dwa4ZskFQRZh6nK_t2DRQ,Children Play Area,Attraction,"[""age-sections"",""adult-seating"",""socks-required""]","[""quiet"",""toddler-friendly"",""clean""]"
ChIJjxawQ9pckFQRhmsUWZEGzRg,Sky Zone Trampoline Park,Attraction,"[""party-rooms"",""cafe-on-site"",""socks-required""]","[""birthday-party"",""busy""]"
ChIJrYaNnd0RkFQRYqyL-eFr6Mc,Sky Zone Trampoline Park,Attraction,"[""party-rooms"",""cafe-on-site"",""socks-required"",""adult-seating""]","[""birthday-party""]"
ChIJg5ggRQBdkFQR0h9t-MpvLPg,Urban Air Trampoline and Adventure Park,Attraction,"[""party-rooms"",""cafe-on-site"",""socks-required""]",[]
ChIJYfd2bQAHkFQR4551RLCL_gs,Urban Air Trampoline and Adventure Park,Attraction,"[""party-rooms"",""cafe-on-site"",""socks-required"",""adult-seating""]","[""busy""]"
ChIJmcsF0WFdkFQRx68vYlGc9tc,Activate Tukwila,Attraction,"[""party-rooms"",""adult-seating""]","[""active"",""organized""]"
ChIJH0GPFgxrkFQRjvdLDGhydkI,Sky Zone Trampoline Park,Attraction,"[""party-rooms"",""socks-required""]","[""birthday-party"",""busy""]"
ChIJtZZ_Adk5kFQRY1VWaBXwVu0,Adventure Alley,Attraction,"[""party-rooms"",""socks-required"",""age-sections"",""soft-play"",""adult-seating""]","[""toddler-favourite"",""busy""]"
ChIJCyV7ZUYVkFQR8EKzY5kBPn0,"""Artists At Play"" Playground",Attraction,"[""hands-on-exhibits"",""free-entry"",""adult-seating""]","[""free"",""older-kids""]"
ChIJm88mfNZqkFQR5BOQZnoa-CE,Seattle Children's PlayGarden,Attraction,"[""free-entry"",""stroller-friendly"",""adult-seating"",""age-sections""]","[""free"",""quiet"",""nature""]"
ChIJLR3ryQoUkFQRZb7_-EVfdXI,The Little Gym of Seattle at Maple Leaf,Attraction,"[""soft-play"",""age-sections"",""adult-seating"",""toddler-sessions""]","[""toddler-favourite""]"
ChIJ4yeX03YVkFQRdaIkZJza8Ps,The Little Gym of Seattle at Interbay,Attraction,"[""soft-play"",""age-sections"",""adult-seating"",""party-rooms"",""toddler-sessions""]","[""toddler-favourite""]"
ChIJDcas-sYVkFQRV580ZJati0U,Seattle Gymnastics Academy - Ballard,Attraction,"[""soft-play"",""party-rooms"",""adult-seating""]",[]
ChIJmw2HpQ5qkFQRI-haE0E6xKY,Seattle Gymnastics Academy - Columbia City,Attraction,"[""soft-play"",""age-sections""]",[]
ChIJu3AhxBdBkFQRmlfYVAuAI60,The Little Gym of West Seattle,Attraction,"[""soft-play"",""age-sections"",""adult-seating"",""toddler-sessions""]","[""toddler-favourite""]"
ChIJxRG0N00VkFQRDKdpTdUwLtc,Seattle Athletic Club,Attraction,[],[]
ChIJRbDI17hqkFQRJxdIHdse8To,Yesler Community Center,Attraction,"[""free-entry"",""adult-seating""]","[""free"",""quiet""]"
ChIJ3R49_7ltkFQRtUh9KBMflUs,My Gym Bellevue Children's Fitness Center,Attraction,"[""party-rooms"",""soft-play"",""adult-seating"",""toddler-sessions""]","[""birthday-parties"",""toddler-favourite""]"
ChIJAZpvKdVqkFQRFoUYHG8OkiA,Miller Community Center,Attraction,[],[]
ChIJWR7wZXhqkFQR2chT-PFZQ4A,Jefferson Community Center,Attraction,"[""toddler-sessions""]","[""free""]"
ChIJDYYZpmURkFQRyXjZzdm37UQ,Seattle Gymnastics Academy - Lake City,Attraction,"[""party-rooms"",""soft-play"",""age-sections"",""socks-required""]","[""birthday-parties""]"
ChIJPZQO6sFqkFQR9sQMLDZHT0A,Pratt Park & Spraypark,Park,"[""splash-pad"",""picnic-area"",""restrooms-nearby""]","[""busy"",""summer""]"
ChIJdcvKyEYRkFQRem886FnPXYU,Northacres Park,Park,"[""splash-pad"",""paved-paths"",""shade"",""nature-play"",""stroller-friendly"",""age-sections""]","[""toddler-favourite"",""summer""]"
ChIJ_7dCvikVkFQRwsx0KVu5QmU,Lake Union Spraypark,Park,"[""splash-pad""]","[""summer""]"
ChIJ-9R9IEcRkFQRJAj04ZeaFQc,Northacres Spraypark,Park,"[""splash-pad"",""shade"",""nature-play"",""paved-paths"",""restrooms-nearby"",""age-sections""]","[""summer"",""toddler-favourite""]"
ChIJPXQ0oxMVkFQR9thd41WTvr8,East Queen Anne Playground & Wading Pool,Park,"[""splash-pad"",""restrooms-nearby"",""shade""]","[""summer""]"
ChIJZVlrjM8VkFQRZxEyEgaphVY,Fritz Hedges Waterway Park,Park,"[""paved-paths"",""shade"",""picnic-area"",""stroller-friendly"",""nature-play""]","[""quiet"",""peaceful""]"
ChIJdRejBgBBkFQRZfWy8KzLJcE,Spraypark,Park,"[""restrooms-nearby"",""splash-pad""]","[""free"",""busy""]"
ChIJuc7GVFYUkFQR7XwqdkbaH_k,Wallingford Playfield Wading Pool,Park,"[""swimming""]","[""toddler-friendly""]"
ChIJJ4Db0JEVkFQRXNJ85gjHRlM,Volunteer Park Wading Pool,Park,"[""shade"",""swimming""]","[""busy"",""family-friendly""]"
ChIJteupenNrkFQR9Af94utuQOY,Waterfall Garden,Park,"[""shade"",""picnic-area""]","[""quiet"",""peaceful""]"
ChIJT7TSErltkFQRvAYJ2VXHPHs,Crossroads Water Spray Playground,Park,"[""shade"",""restrooms-nearby"",""picnic-area"",""splash-pad""]","[""family-friendly""]"
ChIJDSYHFQJCkFQROpHMyn48ICY,"John C. Little, Sr. Park",Park,"[""shade"",""restrooms-nearby"",""picnic-area"",""splash-pad""]","[""family-friendly""]"
ChIJMwtcUJsTkFQRSMt2Em6AG0M,View Ridge Playfield Wading Pool,Park,"[""swimming""]",[]
ChIJV4cMWgBrkFQRwMKdeD3rh3A,Spraypark,Park,"[""shade""]",[]
ChIJX0nBMdVqkFQRhENm2qMXt70,Ron K. Bills Spraypark,Park,"[""splash-pad""]","[""free""]"
ChIJM5n67fdBkFQR0p99-KSbEPk,Van Asselt Playground Park,Park,[],[]
ChIJ70OrcHtBkFQR157gJuS-yjc,Highland Park,Park,"[""splash-pad"",""restrooms-nearby""]","[""toddler-favourite"",""busy""]"
ChIJPbMxKpsWkFQRzg4dP90Hha4,Soundview Playfield & Wading Pool,Park,"[""splash-pad"",""restrooms-nearby"",""shade""]","[""quiet""]"
ChIJr046LABBkFQR-PMqU6pOlz0,Georgetown Spraypark,Park,"[""splash-pad"",""picnic-area"",""shade""]",[]
ChIJA7jFcWxBkFQRobji0_Eq5Vg,E.C. Hughes Playground,Park,"[""splash-pad"",""picnic-area"",""restrooms-nearby"",""shade""]",[]
ChIJEVkhtItAkFQRklI_Z1OajXI,Schmitz Preserve Park,Park,"[""shade"",""nature-play""]","[""quiet""]"
ChIJr3IafvcVkFQRPBDX2psYDwQ,Wolf Tree Nature Area,Park,"[""paved-paths"",""shade"",""nature-play""]","[""toddler-favourite""]"
ChIJ8R1lBa0MkFQRplIALA5mx10,Redmond Watershed Preserve,Park,"[""paved-paths"",""shade"",""restrooms-nearby"",""picnic-area""]",[]
ChIJOefy1ewVkFQRgAH5JxMHlwo,Arboretum Waterfront Trail,Park,"[""paved-paths"",""shade"",""nature-play""]",[]
ChIJEeprvNsUkFQRPvlME87_68Q,Interlaken Park,Park,"[""shade""]","[""quiet""]"
ChIJu6tmi-BqkFQR97GE7ikExSI,Leschi-Lake Dell Natural Area,Park,[],[]
ChIJ6fHHeRVBkFQRRsCoGv3F3Dg,Schmitz Park Trailhead,Park,"[""shade"",""stroller-friendly"",""easy-grade"",""beach-access"",""nature-play""]","[""toddler-favourite"",""quiet""]"
ChIJJ8H-WMcUkFQR_ev_pZz_s50,Foster Point Trail,Park,"[""easy-grade"",""shade""]","[""quiet""]"
ChIJAYjWaOMTkFQRMAHH80LAqJY,Kingfisher Natural Area on Thornton Creek,Park,"[""shade"",""nature-play""]","[""quiet""]"
ChIJsY7svMQXkFQR9Tvu9tX15V4,End of Burke Gilman Trail,Park,"[""paved-paths"",""easy-grade""]",[]
ChIJn0CO4fAVkFQRIGP6pMpCmFE,Discovery Park,Park,"[""paved-paths"",""shade"",""restrooms-nearby"",""stroller-friendly"",""beach-access"",""picnic-area"",""nature-play""]",[]
ChIJ04O7uWYVkFQRgIDFtkKnB7Q,Elliott Bay Park,Park,"[""paved-paths"",""shade"",""beach-access"",""picnic-area""]",[]
ChIJ6TXKigpDkFQRbkRqSvNHjrw,Taylor Creek & Trail,Park,"[""shade"",""nature-play""]","[""quiet""]"
ChIJf4Ibcb8TkFQRivsruH9iuEg,Burke Gilman Trail,Park,"[""paved-paths"",""shade"",""easy-grade""]",[]
ChIJs9WPRK4RkFQR7TdstSAkkA0,Grace Cole Nature Park,Park,"[""shade"",""nature-play""]","[""quiet""]"
ChIJ1ehawuVqkFQR7FCyds1Wc6U,Frink Park,Park,"[""shade"",""nature-play""]",[]
ChIJ91kvCbhbkFQRttEHQPIzTZY,Angle Lake Park Nature Trail,Park,"[""paved-paths"",""shade"",""picnic-area"",""nature-play""]","[""quiet""]"
ChIJl08Tx-xqkFQRPhDqu9Abx0o,Central Park Trail,Park,"[""paved-paths"",""easy-grade""]",[]
ChIJ4yjQRVwVkFQRGgpA_cetS70,Myrtle Edwards Park,Park,"[""paved-paths"",""beach-access"",""picnic-area""]",[]
ChIJc5ItrscXkFQRfcIBRm0jCF4,Golden Gardens Beach,Park,"[""beach-access"",""picnic-area"",""restrooms-nearby"",""shade""]","[""family-friendly"",""busy""]"
ChIJM4N6rP0VkFQRQIjZxBrI3r8,Ravenna Park Picnic Shelter #1,Park,"[""paved-paths"",""picnic-area"",""nature-play""]","[""quiet""]"
ChIJC56VbD4TkFQRZxCWulIYbDo,Marina Park Picnic Area,Park,"[""picnic-area""]",[]
ChIJ75GZ5YVAkFQRD5DR36vUwQM,Alki Beach Park,Park,"[""paved-paths"",""beach-access""]",[]
ChIJ4UHa_n4DkFQRLEKZx2Up2K4,Picnic Point Park,Park,"[""beach-access"",""paved-paths"",""restrooms-nearby""]","[""quiet""]"
ChIJ0aMgz9tBkFQREyWsgViNdMA,Picnic Shelter #3,Park,"[""beach-access"",""picnic-area"",""restrooms-nearby""]",[]
ChIJn9QzzrgTkFQR_3_jS-a1i2Q,Matthews Beach Park,Park,"[""beach-access"",""restrooms-nearby"",""picnic-area"",""paved-paths"",""swimming""]","[""family-friendly""]"
ChIJW_B2qcxrkFQRYiflQUFYgjg,Pioneer Square Habitat Beach,Park,"[""beach-access"",""nature-play""]","[""quiet"",""short-visit""]"
ChIJf0naBDg_kFQRfvgSJaRIrM8,Discovery Park Beach,Park,"[""beach-access"",""paved-paths"",""restrooms-nearby"",""nature-play"",""picnic-area""]","[""peaceful"",""family-friendly""]"
ChIJcUt4bvoSkFQR7K_IXwWKJpw,Waverly Beach Park,Park,"[""beach-access"",""restrooms-nearby"",""picnic-area"",""swimming"",""nature-play""]","[""family-friendly"",""busy""]"
ChIJqzUhbR9rkFQRQK6lztN-kPs,Chism Beach Park,Park,"[""beach-access"",""restrooms-nearby"",""picnic-area"",""nature-play""]","[""quiet"",""family-friendly""]"
ChIJKQf1cQpCkFQRY_Wv-y4SPhk,Pritchard Beach Bath House,Park,"[""beach-access"",""restrooms-nearby"",""swimming""]","[""family-friendly"",""community-vibe""]"
ChIJqzMjaiNBkFQRdUsko1yarps,Lowman Beach Park,Park,"[""beach-access""]","[""scenic""]"
ChIJjd1ViQpCkFQR4P2zLqh8D6w,Pritchard Island Beach,Park,"[""beach-access"",""restrooms-nearby"",""swimming"",""picnic-area""]","[""quiet"",""family-friendly""]"
ChIJafU2WaQQkFQR4oI9uVn9-Ok,Richmond Beach Saltwater Park,Park,"[""beach-access"",""restrooms-nearby"",""picnic-area""]","[""family-friendly"",""scenic""]"
ChIJyVw29LsWkFQRtWZ3uO0R9hA,Carkeek Park,Park,"[""beach-access"",""nature-play"",""picnic-area""]","[""family-friendly"",""educational""]"
ChIJ8YJRL4JrkFQRdnf1tnffqoE,Calkins Point Sand Beach,Park,"[""beach-access"",""picnic-area"",""nature-play""]","[""peaceful"",""scenic""]"
ChIJ7U63bu5AkFQR8k4dt9R5vv8,Me-Kwa-Mooks Park,Park,"[""shade"",""beach-access"",""nature-play""]","[""quiet""]"
ChIJ99HHTFAXkFQRKeB6W9M-2ag,Carkeek Park Picnic Area,Park,"[""picnic-area"",""shade""]","[""busy""]"
ChIJ79hAsVprkFQR76QdkLEgsvc,Picnic Party Seattle,Park,[],[]
ChIJgTy59sYUkFQRin5kehZcTqI,Washington Park Arboretum,Park,"[""paved-paths"",""shade"",""easy-grade""]","[""quiet"",""peaceful""]"
ChIJB7zhYpoUkFQRiilY13__Z5U,Center for Urban Horticulture,Park,"[""paved-paths"",""shade"",""restrooms-nearby"",""easy-grade""]","[""peaceful""]"
ChIJh1MKBw5DkFQRYlvD-y7bh-A,Highline SeaTac Botanical Garden,Park,"[""paved-paths"",""shade"",""easy-grade""]","[""free"",""peaceful""]"
ChIJ0xiwDcIVkFQR94m4NKC6MrI,Carl S. English Jr. Botanical Garden,Park,"[""paved-paths"",""shade"",""easy-grade""]","[""free"",""family-friendly""]"
ChIJTWMBdNIUkFQRgk7qGbVu_eo,Pacific Connections Gardens at Washington Park Arboretum,Park,"[""paved-paths"",""shade"",""restrooms-nearby"",""easy-grade""]","[""quiet"",""peaceful""]"
ChIJA2y97GVCkFQRLhpMnRq2Nd8,Kubota Garden,Park,"[""paved-paths"",""shade"",""easy-grade"",""picnic-area""]","[""free""]"
ChIJtyvP_2ZskFQRAz9MdO6RqfM,Bellevue Botanical Garden,Park,"[""paved-paths"",""shade"",""restrooms-nearby"",""easy-grade"",""picnic-area""]","[""free"",""family-friendly""]"
ChIJ012etiAVkFQRC_S9MrDaTLg,Streissguth Gardens,Park,"[""shade"",""nature-play""]","[""quiet"",""hidden-gem""]"
ChIJQ3K1QtIUkFQRNM3jmnMDMVk,Seattle Japanese Garden,Park,"[""paved-paths"",""shade"",""restrooms-nearby"",""easy-grade""]","[""quiet"",""seasonal""]"
ChIJW1CAetgUkFQRPxHiXgoMMi4,Volunteer Park Conservatory,Park,"[""shade"",""restrooms-nearby"",""easy-grade""]","[""rainy-day"",""quiet""]"
ChIJC4qMq1c3kFQRen6eSfOqkX4,Vista Gardens,Park,"[""shade"",""nature-play""]","[""quiet"",""scenic""]"
ChIJ4ZBveQQVkFQRclaw4N4S90g,Japanese Maples,Park,"[""shade"",""nature-play""]","[""peaceful""]"
ChIJgTy59sYUkFQRVEfKdJ7twqo,Arboretum Foundation,Park,"[""paved-paths"",""shade""]","[""scenic"",""busy""]"
ChIJPSZWuqVBkFQR2DUWt9wXI4w,Seattle Chinese Garden,Park,"[""paved-paths"",""stroller-friendly"",""shade"",""restrooms-nearby""]","[""family-friendly"",""peaceful""]"
ChIJ0dSF8NkekFQRaRsnJHmk4Gw,Heronswood Garden,Park,"[""paved-paths"",""shade"",""restrooms-nearby""]","[""peaceful"",""quiet""]"
ChIJ7-Nc2GgVkFQRkOdZuHdsV8k,Parsons Gardens,Park,"[""paved-paths"",""shade""]","[""quiet"",""peaceful""]"
